storage,target_rate_per_s,duration_seconds,trial_index,scheduled_at_utc,queue_delay_ms,api_latency_ms,first_command_latency_ms,second_command_latency_ms,api_success,ready_success,cleanup_success,sandbox_id,error_type,error_message
none,50,60,1,2026-07-30T09:48:38.102019+00:00,3.4,791.105,2311.5,146.351,True,True,True,sbx-3a705070-aaf2-428d-a70b-af168a0a3600,,
none,50,60,2,2026-07-30T09:48:38.122019+00:00,0.479,776.975,2323.309,135.055,True,True,True,sbx-c6df6903-729d-4a0d-ae5f-b76b4b246e01,,
none,50,60,3,2026-07-30T09:48:38.142019+00:00,0.542,699.051,476.252,68.139,True,True,True,sbx-4f5c091a-69fb-491c-8e17-418d0ea48f60,,
none,50,60,4,2026-07-30T09:48:38.162019+00:00,0.99,718.396,432.825,53.215,True,True,True,sbx-906482ae-e0dd-4b8a-b6e9-3a98b6e283d4,,
none,50,60,5,2026-07-30T09:48:38.182019+00:00,1.558,665.686,466.729,63.344,True,True,True,sbx-c03ab18b-2f78-49d4-b78d-64bc7dce313a,,
none,50,60,6,2026-07-30T09:48:38.202019+00:00,0.477,637.766,471.396,70.856,True,True,True,sbx-ffe6325c-db51-4541-8046-72fa96e930ea,,
none,50,60,7,2026-07-30T09:48:38.222019+00:00,0.549,668.096,421.777,64.978,True,True,True,sbx-9e613791-1a22-46af-b5ed-15f29b63f474,,
none,50,60,8,2026-07-30T09:48:38.242019+00:00,0.503,601.562,471.087,61.181,True,True,True,sbx-7f69cd26-d459-4136-8558-cce8f0f8db21,,
none,50,60,9,2026-07-30T09:48:38.262019+00:00,0.462,574.346,481.424,65.192,True,True,True,sbx-f28535e9-d011-497c-b1d2-88c9343eceed,,
none,50,60,10,2026-07-30T09:48:38.282019+00:00,0.724,598.952,436.959,62.321,True,True,True,sbx-9e7feee5-31b1-4e07-911c-0b2b6fa9c35d,,
none,50,60,11,2026-07-30T09:48:38.302019+00:00,0.891,537.583,470.827,57.021,True,True,True,sbx-7ba8d9e1-0924-4c3d-bc95-99158419a935,,
none,50,60,12,2026-07-30T09:48:38.322019+00:00,0.903,700.1,387.229,69.935,True,True,True,sbx-1d758685-d19d-4bc8-b4f7-35dad7b5cb17,,
none,50,60,13,2026-07-30T09:48:38.342019+00:00,0.66,554.997,2290.339,92.344,True,True,True,sbx-e3c45726-5e23-489b-8627-7910febf4fa6,,
none,50,60,14,2026-07-30T09:48:38.362019+00:00,0.284,682.843,366.932,67.172,True,True,True,sbx-032cf2b8-00c2-4d14-ae68-fee090d89ce8,,
none,50,60,15,2026-07-30T09:48:38.382019+00:00,0.343,520.657,413.857,64.9,True,True,True,sbx-141c9d88-3efd-434b-be02-bbc61fe55407,,
none,50,60,16,2026-07-30T09:48:38.402019+00:00,0.738,636.974,374.601,80.458,True,True,True,sbx-57717677-38e0-40a6-b5a6-58528ccd060a,,
none,50,60,17,2026-07-30T09:48:38.422019+00:00,1.194,491.21,2278.017,91.06,True,True,True,sbx-79bb9f9f-d108-40cd-bb8d-eac7e64c92c9,,
none,50,60,18,2026-07-30T09:48:38.442019+00:00,0.916,457.382,2324.037,130.733,True,True,True,sbx-99fd0391-7ea9-4c87-923f-028638096333,,
none,50,60,19,2026-07-30T09:48:38.462019+00:00,0.833,582.724,365.675,67.101,True,True,True,sbx-0b9086b0-eb95-493e-97a9-64daab90e89e,,
none,50,60,20,2026-07-30T09:48:38.482019+00:00,0.779,564.586,409.962,41.354,True,True,True,sbx-47d7670a-cc4c-4c19-9c5b-d8aa3faa9ba0,,
none,50,60,21,2026-07-30T09:48:38.502019+00:00,0.847,543.706,362.816,56.21,True,True,True,sbx-f167ddd2-1366-4b3d-8d14-25948987f7db,,
none,50,60,22,2026-07-30T09:48:38.522019+00:00,0.82,522.974,446.921,52.47,True,True,True,sbx-dce75d5c-e355-486a-a345-98db6841f3d5,,
none,50,60,23,2026-07-30T09:48:38.542019+00:00,0.298,502.198,436.346,48.49,True,True,True,sbx-6efc20a6-a917-4d6b-b4ed-dcef0a1cdbcd,,
none,50,60,24,2026-07-30T09:48:38.562019+00:00,0.524,799.051,2467.904,78.665,True,True,True,sbx-8b581172-6d4c-4afd-aea6-98a8d9c71d38,,
none,50,60,25,2026-07-30T09:48:38.582019+00:00,1.032,598.344,2498.074,91.481,True,True,True,sbx-329ebbfc-ef45-4da4-98bd-6c83dda808a1,,
none,50,60,26,2026-07-30T09:48:38.602019+00:00,0.526,787.455,2551.735,210.144,True,True,True,sbx-e367d8e8-9e92-4db5-a5a0-ca7403befbf1,,
none,50,60,27,2026-07-30T09:48:38.622019+00:00,0.468,770.213,2473.795,128.397,True,True,True,sbx-eeecba41-77e9-44b7-9153-3e2516a70d2c,,
none,50,60,28,2026-07-30T09:48:38.642019+00:00,0.463,752.695,2469.489,134.928,True,True,True,sbx-be4741c5-7e72-4e52-9c64-5f3850249b49,,
none,50,60,29,2026-07-30T09:48:38.662019+00:00,0.512,635.199,339.916,53.942,True,True,True,sbx-8930ca07-e7a0-43aa-8339-f7af75d71a1a,,
