provider,product_name,storage,target_rate_per_s,duration_seconds,configured_max_workers,effective_max_workers,trial_index,scheduled_at_utc,queue_delay_ms,api_latency_ms,first_command_latency_ms,second_command_latency_ms,api_success,ready_success,cleanup_success,sandbox_id,failure_phase,error_type,error_message,error_traceback,cleanup_error_type,cleanup_error_message,cleanup_error_traceback
vol,字节,none,10,60,1000,600,396,2026-08-04T06:19:15.855423+00:00,0.883,4778.13,5294.72,5330.585,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p03uasrpf97678g-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
vol,字节,none,10,60,1000,600,398,2026-08-04T06:19:16.055423+00:00,0.847,4514.627,4967.348,5097.266,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p032hba380q0590-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
vol,字节,none,10,60,1000,600,405,2026-08-04T06:19:16.755423+00:00,1.035,4164.339,4444.188,4732.524,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p83gsa248p6kufg-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
vol,字节,none,10,60,1000,600,406,2026-08-04T06:19:16.855423+00:00,1.256,4683.37,5477.829,5575.183,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p83rus1u7gn0kn0-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
vol,字节,none,10,60,1000,600,407,2026-08-04T06:19:16.955423+00:00,1.909,5077.536,5479.078,5538.779,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p832hba380q05d0-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
vol,字节,none,10,60,1000,600,408,2026-08-04T06:19:17.055423+00:00,0.201,4469.283,5328.491,5403.95,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p83gsa248p6kug0-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
vol,字节,none,10,60,1000,600,409,2026-08-04T06:19:17.155423+00:00,1.043,4875.73,5302.059,5349.439,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p83rus1u7gn0kp0-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
vol,字节,none,10,60,1000,600,410,2026-08-04T06:19:17.255423+00:00,0.511,4338.576,4478.005,4506.587,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p832hba380q05e0-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
vol,字节,none,10,60,1000,600,411,2026-08-04T06:19:17.355423+00:00,0.844,4684.634,5087.833,5144.616,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p83uasrpf9767gg-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
vol,字节,none,10,60,1000,600,412,2026-08-04T06:19:17.455423+00:00,0.835,4989.679,5458.707,5500.117,True,True,False,vefaas-zhbatkbe-pvwvqxqnp4-d9oo8p83gsa248p6kuh0-sandbox,,,,,RateLimitException,"429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.","Traceback (most recent call last):
  File ""C:\Users\le\Desktop\aliyun\benchmark.py"", line 354, in one_trial
    cleanup_success = bool(sandbox.kill())
                           ^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox\utils.py"", line 23, in _wrapper
    return self.method(obj, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\main.py"", line 384, in kill
    return SandboxApi._cls_kill(
           ^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\le\miniconda3\envs\aliyun\Lib\site-packages\e2b\sandbox_sync\sandbox_api.py"", line 139, in _cls_kill
    raise handle_api_exception(res)
e2b.exceptions.RateLimitException: 429: Rate limit exceeded, please try again later. - Request was rejected because the request speed of this openAPI is beyond the current flow control limit.
"
