test_name,provider,product_name,driver,storage,duration_seconds,metric,unit,1tps
启动并发速度,vol,字节,volcengine_native,none,2,configured_max_workers,count,1000
启动并发速度,vol,字节,volcengine_native,none,2,effective_max_workers,count,2
启动并发速度,vol,字节,volcengine_native,none,2,attempts,count,2
启动并发速度,vol,字节,volcengine_native,none,2,mean_excludes_first_trial,bool,True
启动并发速度,vol,字节,volcengine_native,none,2,api_success_rate_pct,%,100.0
启动并发速度,vol,字节,volcengine_native,none,2,ready_success_rate_pct,%,100.0
启动并发速度,vol,字节,volcengine_native,none,2,cleanup_success_rate_pct,%,100.0
启动并发速度,vol,字节,volcengine_native,none,2,api_latency_min_ms,ms,4358.835
启动并发速度,vol,字节,volcengine_native,none,2,api_latency_max_ms,ms,4616.861
启动并发速度,vol,字节,volcengine_native,none,2,api_latency_mean_sample_count,count,1
启动并发速度,vol,字节,volcengine_native,none,2,api_latency_mean_ms,ms,4616.861
启动并发速度,vol,字节,volcengine_native,none,2,api_latency_p50_ms,ms,4358.835
启动并发速度,vol,字节,volcengine_native,none,2,api_latency_p90_ms,ms,4616.861
启动并发速度,vol,字节,volcengine_native,none,2,api_latency_p95_ms,ms,4616.861
启动并发速度,vol,字节,volcengine_native,none,2,api_latency_p99_ms,ms,4616.861
启动并发速度,vol,字节,volcengine_native,none,2,first_command_latency_min_ms,ms,4491.47
启动并发速度,vol,字节,volcengine_native,none,2,first_command_latency_max_ms,ms,4696.812
启动并发速度,vol,字节,volcengine_native,none,2,first_command_latency_mean_sample_count,count,1
启动并发速度,vol,字节,volcengine_native,none,2,first_command_latency_mean_ms,ms,4696.812
启动并发速度,vol,字节,volcengine_native,none,2,first_command_latency_p50_ms,ms,4491.47
启动并发速度,vol,字节,volcengine_native,none,2,first_command_latency_p90_ms,ms,4696.812
启动并发速度,vol,字节,volcengine_native,none,2,first_command_latency_p95_ms,ms,4696.812
启动并发速度,vol,字节,volcengine_native,none,2,first_command_latency_p99_ms,ms,4696.812
启动并发速度,vol,字节,volcengine_native,none,2,second_command_latency_min_ms,ms,4595.293
启动并发速度,vol,字节,volcengine_native,none,2,second_command_latency_max_ms,ms,4844.014
启动并发速度,vol,字节,volcengine_native,none,2,second_command_latency_mean_sample_count,count,1
启动并发速度,vol,字节,volcengine_native,none,2,second_command_latency_mean_ms,ms,4844.014
启动并发速度,vol,字节,volcengine_native,none,2,second_command_latency_p50_ms,ms,4595.293
启动并发速度,vol,字节,volcengine_native,none,2,second_command_latency_p90_ms,ms,4844.014
启动并发速度,vol,字节,volcengine_native,none,2,second_command_latency_p95_ms,ms,4844.014
启动并发速度,vol,字节,volcengine_native,none,2,second_command_latency_p99_ms,ms,4844.014
启动并发速度,vol,字节,volcengine_native,none,2,schedule_delay_p95_ms,ms,1.605
