storage,target_rate_per_s,duration_seconds,trial_index,scheduled_at_utc,queue_delay_ms,api_latency_ms,first_command_latency_ms,second_command_latency_ms,api_success,ready_success,cleanup_success,sandbox_id,error_type,error_message
none,1,60,1,2026-07-30T09:51:19.315470+00:00,2.458,516.391,342.452,92.19,True,True,True,sbx-35b42567-dc10-4524-8fb7-540c9257b57c,,
none,1,60,2,2026-07-30T09:51:20.315470+00:00,1.209,1750.288,625.888,65.202,True,True,True,sbx-1f61f80e-b331-4737-b9da-b2ca61a05922,,
none,1,60,3,2026-07-30T09:51:21.315470+00:00,0.495,1453.728,272.778,155.589,True,True,True,sbx-cd865d4d-13ed-4c97-a355-fcb090b472d9,,
none,1,60,4,2026-07-30T09:51:22.315470+00:00,0.556,632.082,251.418,65.712,True,True,True,sbx-cab82212-cc04-446b-bbf4-13687cadd3be,,
none,1,60,5,2026-07-30T09:51:23.315470+00:00,0.326,391.054,411.426,63.003,True,True,True,sbx-f61b80cb-6edf-4488-a9aa-c0c451972264,,
none,1,60,6,2026-07-30T09:51:24.315470+00:00,0.645,324.04,252.148,51.524,True,True,True,sbx-bcb8932b-c4c7-4f43-9f4e-94be95476e9b,,
none,1,60,7,2026-07-30T09:51:25.315470+00:00,0.282,448.933,246.143,42.331,True,True,True,sbx-810ee17c-d899-4c04-aadf-839ba0fd0f57,,
none,1,60,8,2026-07-30T09:51:26.315470+00:00,1.055,763.8,241.027,43.12,True,True,True,sbx-89ef0684-9865-47fe-80fe-9b1596d2cbe6,,
none,1,60,9,2026-07-30T09:51:27.315470+00:00,0.582,473.933,272.427,44.471,True,True,True,sbx-86113b98-b2d5-46a9-85c5-3391c912fbfa,,
none,1,60,10,2026-07-30T09:51:28.315470+00:00,0.914,389.09,230.694,52.367,True,True,True,sbx-22290d94-19a5-4673-b3d4-a99a7f66c563,,
none,1,60,11,2026-07-30T09:51:29.315470+00:00,0.838,441.114,460.121,97.866,True,True,True,sbx-c9214b28-c2d1-475c-90df-2ee893d9c266,,
none,1,60,12,2026-07-30T09:51:30.315470+00:00,1.185,424.133,297.133,51.736,True,True,True,sbx-e92ed350-e966-485b-b275-b7279dbdd5ee,,
none,1,60,13,2026-07-30T09:51:31.315470+00:00,0.506,421.633,261.489,41.681,True,True,True,sbx-956a6730-e37a-4a55-be9d-4258c43644e1,,
