storage,target_rate_per_s,duration_seconds,trial_index,scheduled_at_utc,queue_delay_ms,api_latency_ms,first_command_latency_ms,second_command_latency_ms,api_success,ready_success,cleanup_success,sandbox_id,error_type,error_message
none,50,60,1,2026-07-30T08:57:24.596828+00:00,1.202,17802.809,33278.903,6323.709,True,True,True,sbx-4fe118cd-368c-4072-80d0-9947e745693f,,
none,50,60,2,2026-07-30T08:57:24.616828+00:00,1.169,5383.651,,,True,False,True,sbx-f71d8dcb-73ef-4fd0-a6a1-0b64a9de920e,SandboxException,Code.unknown: 
none,50,60,3,2026-07-30T08:57:24.636828+00:00,1.147,5078.264,,,True,False,True,sbx-200eb1aa-722e-4972-a13d-d9dbd8971568,SandboxException,Code.unknown: 
none,50,60,4,2026-07-30T08:57:24.656828+00:00,1.515,35627.147,,,True,False,True,sbx-e1dbc1de-c28d-4c49-a177-aef8c95fc117,SandboxException,Code.unknown: 
none,50,60,5,2026-07-30T08:57:24.676828+00:00,0.465,5294.981,,,True,False,True,sbx-2dc4716f-dbc2-4d2a-bc77-76d9fe0ac30a,SandboxException,Code.unknown: 
none,50,60,6,2026-07-30T08:57:24.696828+00:00,1.763,5131.366,,,True,False,True,sbx-273a589d-2691-4ad1-8975-027ca442fdd6,SandboxException,Code.unknown: 
none,50,60,7,2026-07-30T08:57:24.716828+00:00,1.407,4963.569,,,True,False,True,sbx-61e2a1a0-5638-4cdd-9956-fd8084670cf9,SandboxException,Code.unknown: 
none,50,60,8,2026-07-30T08:57:24.736828+00:00,1.602,5315.561,41210.772,16965.416,True,True,True,sbx-55affd85-f4fa-4412-aebd-565c63868cb6,,
none,50,60,9,2026-07-30T08:57:24.756828+00:00,0.732,16799.072,43997.994,4764.06,True,True,True,sbx-7d37e7d4-aad3-4a21-86a5-714d864a37fc,,
none,50,60,10,2026-07-30T08:57:24.776828+00:00,2.048,5274.038,53054.702,13386.021,True,True,True,sbx-c924df88-e4af-41c8-8c0d-011387291d74,,
none,50,60,11,2026-07-30T08:57:24.796828+00:00,0.814,5179.341,43622.253,7271.697,True,True,True,sbx-9d1a3445-33d1-4ef3-adb0-7baf349cd90c,,
none,50,60,12,2026-07-30T08:57:24.816828+00:00,1.378,7674.914,36544.799,3169.116,True,True,True,sbx-cc98519f-aa76-4051-a58f-166ad091cd47,,
none,50,60,13,2026-07-30T08:57:24.836828+00:00,1.548,4961.387,,,True,False,True,sbx-b96f0d19-a1bb-41e0-acdd-1f3e9eba2177,SandboxException,Code.unknown: 
none,50,60,14,2026-07-30T08:57:24.856828+00:00,1.239,31868.836,31761.805,,True,False,True,sbx-51626073-e62d-4063-ad2f-6d93d310a5ba,SandboxException,Code.unknown: 
none,50,60,15,2026-07-30T08:57:24.876828+00:00,1.245,31454.845,,,True,False,True,sbx-f09856a2-fd94-4ed7-a157-fc2c971bfce1,SandboxException,Code.unknown: 
none,50,60,16,2026-07-30T08:57:24.896828+00:00,1.659,41409.154,,,True,False,True,sbx-58b14712-1d2f-4391-a693-7e1f7fcfb8a3,SandboxException,Code.unknown: 
none,50,60,17,2026-07-30T08:57:24.916828+00:00,1.274,4874.34,,,True,False,True,sbx-92e72e72-9f5a-4a0a-b6b6-19aa77e8e67a,SandboxException,Code.unknown: 
none,50,60,18,2026-07-30T08:57:24.936828+00:00,0.909,5036.101,47157.454,7301.316,True,True,True,sbx-e9e20ca4-47a3-4237-9cbe-02004763bfd7,,
none,50,60,19,2026-07-30T08:57:24.956828+00:00,0.568,5727.088,42913.766,7271.065,True,True,True,sbx-901ac941-b928-4e6c-b4b0-c9a08494ba31,,
none,50,60,20,2026-07-30T08:57:24.976828+00:00,1.279,5117.51,,,True,False,True,sbx-c41ed0e7-dadf-4bcc-a483-5648b45fa60c,SandboxException,Code.unknown: 
none,50,60,21,2026-07-30T08:57:24.996828+00:00,1.308,7567.526,,,True,False,True,sbx-bb780ee8-8c81-4cb7-92bd-1acee97f5bd7,SandboxException,Code.unknown: 
none,50,60,22,2026-07-30T08:57:25.016828+00:00,1.427,15038.276,44375.515,11684.977,True,True,True,sbx-28883465-3dbc-40f9-b13c-b96da9205082,,
none,50,60,23,2026-07-30T08:57:25.036828+00:00,1.658,14299.242,,,True,False,False,sbx-f7710d51-9820-49ba-8160-d279004a3400,SandboxException,Code.unknown: 
none,50,60,24,2026-07-30T08:57:25.056828+00:00,1.349,,,,False,False,True,,ReadTimeout,The read operation timed out
none,50,60,25,2026-07-30T08:57:25.076828+00:00,1.216,17666.097,39263.456,4578.437,True,True,True,sbx-341d3ed5-be7c-473b-8bbe-8fffddd8d547,,
none,50,60,26,2026-07-30T08:57:25.096828+00:00,1.337,26159.13,28693.971,4086.814,True,True,True,sbx-c8b6c087-478d-446c-9f96-21f9648a7433,,
none,50,60,27,2026-07-30T08:57:25.116828+00:00,1.49,10488.368,54690.682,,True,False,True,sbx-6193db12-7e0d-4d81-aa49-7c6d4801d464,SandboxException,Code.unknown: 
none,50,60,28,2026-07-30T08:57:25.136828+00:00,1.448,34194.325,,,True,False,True,sbx-ed9211c6-0d92-4b2b-b608-4eea0c2a1e54,SandboxException,Code.unknown: 
none,50,60,29,2026-07-30T08:57:25.156828+00:00,0.705,32030.909,,,True,False,True,sbx-9c2315f7-ce30-49ca-8e40-69906c082439,SandboxException,Code.unknown: 
none,50,60,30,2026-07-30T08:57:25.176828+00:00,0.486,29449.116,34177.592,,True,False,True,sbx-f2739740-2b03-437d-979f-8caa364fb862,SandboxException,Code.unknown: 
none,50,60,31,2026-07-30T08:57:25.196828+00:00,0.519,28750.359,,,True,False,False,sbx-fae0a6c9-ec84-46eb-9292-9a1dcc565a5f,SandboxException,Code.unknown: 
none,50,60,32,2026-07-30T08:57:25.216828+00:00,0.572,87310.598,,,True,False,False,sbx-93b92152-1bbb-4793-a5d4-509f7f4560ca,SandboxException,Code.unknown: 
none,50,60,33,2026-07-30T08:57:25.236828+00:00,0.633,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,50,60,34,2026-07-30T08:57:25.256828+00:00,0.79,29931.675,57564.684,30976.085,True,True,True,sbx-56067beb-d041-47fa-bc85-ea76827cb2e3,,
none,50,60,35,2026-07-30T08:57:25.276828+00:00,1.268,155041.873,61057.243,,True,False,True,sbx-c4a6fb3e-d94d-481f-8062-3fb91780c2af,SandboxException,Code.unknown: 
none,50,60,36,2026-07-30T08:57:25.296828+00:00,0.42,32208.885,,,True,False,True,sbx-e81cc93c-c876-44a8-9f99-f35951dc9cf1,SandboxException,Code.unknown: 
none,50,60,37,2026-07-30T08:57:25.316828+00:00,1.235,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,50,60,38,2026-07-30T08:57:25.336828+00:00,1.33,162109.603,,,True,False,False,sbx-5897f82a-abe2-4e3d-a5f3-b734f617f525,SandboxException,Code.unknown: 
none,50,60,39,2026-07-30T08:57:25.356828+00:00,1.613,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,50,60,40,2026-07-30T08:57:25.376828+00:00,1.29,,,,False,False,True,,ReadTimeout,The read operation timed out
none,50,60,41,2026-07-30T08:57:25.396828+00:00,1.342,90710.997,,,True,False,True,sbx-d930e788-d644-4f42-b78a-06cb0e89f345,SandboxException,Code.unknown: 
none,50,60,42,2026-07-30T08:57:25.416828+00:00,1.061,101399.944,17444.768,2386.585,True,True,True,sbx-3649b19a-69ba-463a-8e69-2e18e94c6ef7,,
none,50,60,43,2026-07-30T08:57:25.436828+00:00,1.379,33244.649,69725.108,,True,False,True,sbx-a6bdb879-0849-4973-a283-15aa5d095be2,SandboxException,Code.unknown: 
none,50,60,44,2026-07-30T08:57:25.456828+00:00,1.592,28516.634,,,True,False,True,sbx-0c21bbcc-c7bd-4b84-8a8e-67ea5bab9851,SandboxException,Code.unknown: 
none,50,60,45,2026-07-30T08:57:25.476828+00:00,0.573,88839.188,18381.759,4882.839,True,True,True,sbx-766988aa-a3f1-4f3f-b5a7-5d39acde6b73,,
none,50,60,46,2026-07-30T08:57:25.496828+00:00,1.357,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,50,60,47,2026-07-30T08:57:25.516828+00:00,1.563,33216.116,73396.935,,True,False,True,sbx-ccd42ca8-cdfb-4a18-b8da-5fb16b3f5178,SandboxException,Code.unknown: 
none,50,60,48,2026-07-30T08:57:25.536828+00:00,0.501,71521.974,96688.414,,True,False,True,sbx-655f5a8c-d3f5-49d3-8a53-6cb01ce544b8,SandboxException,Code.unknown: 
none,50,60,49,2026-07-30T08:57:25.556828+00:00,0.784,81947.137,41837.468,4822.804,True,True,True,sbx-9dc5b225-1ec3-4b58-8e55-495c65b05d5d,,
none,50,60,50,2026-07-30T08:57:25.576828+00:00,0.463,87210.234,27497.8,10099.255,True,True,True,sbx-9ce556dc-d97f-486a-a5cf-d82be09d7a7d,,
none,50,60,51,2026-07-30T08:57:25.596828+00:00,0.445,80059.914,25450.161,12646.522,True,True,True,sbx-166e7994-9533-4974-ba43-b24f91681682,,
none,50,60,52,2026-07-30T08:57:25.616828+00:00,0.653,88647.059,17816.888,5154.368,True,True,True,sbx-767849f3-999b-4bce-b42b-edbee35f99fd,,
none,50,60,53,2026-07-30T08:57:25.636828+00:00,0.336,96340.498,49137.897,,True,False,True,sbx-adfdbdb6-22fb-4968-a19a-4fb48d6cea5c,SandboxException,Code.unknown: 
none,50,60,54,2026-07-30T08:57:25.656828+00:00,0.484,30574.642,,,True,False,False,sbx-f8c24522-e67b-4dd8-a765-380fa1ff35d6,SandboxException,Code.unknown: 
